Bear Creek	Marion	AL	34.265	-87.716	1638
Holt	Ingham	MI	42.642	-84.531	25888
Eaton	Preble	OH	39.751	-84.634	8154
St Francisville	Clark	MO	40.45	-91.572	260
Scotts Mills	Marion	OR	45.041	-122.669	421
Grand Isle	Jefferson	LA	29.213	-90.031	672
Highland	Madison	IL	38.76	-89.681	10122
Walland	Blount	TN	35.732	-83.807	519
Thornhill	Jefferson	KY	38.288	-85.626	193
Camargo	Douglas	IL	39.799	-88.167	550
Woodland	Chickasaw	MS	33.78	-89.051	182
Bellevue	Eaton	MI	42.444	-85.019	1152
Rockford	Blount	TN	35.833	-83.936	781
Fair Lakes	Fairfax	VA	38.853	-77.388	8398
Malden	Whitman	WA	47.23	-117.473	219
High Shoals	Gaston	NC	35.396	-81.205	841
California	St Mary's	MD	38.297	-76.495	14730
Big Bear Lake	San Bernardino	CA	34.243	-116.895	5302
Walnut	Bureau	IL	41.557	-89.591	1340
Mesquite	Dona Ana	NM	32.167	-106.688	892
Avon	Dare	NC	35.347	-75.507	474
Kaibab Estates West	Coconino	AZ	35.276	-112.502	1173
Rio Pinar	Orange	FL	28.527	-81.263	5615
Yalaha	Lake	FL	28.751	-81.819	1547
Brenas	Vega Alta	PR	18.473	-66.335	3643
Leesburg	Lake	FL	28.767	-81.896	154301
Elmore	Ottawa	OH	41.471	-83.291	1756
Tualatin	Washington	OR	45.377	-122.775	27601
Stratton	Jefferson	OH	40.526	-80.631	353
Fair Oaks	Cobb	GA	33.919	-84.545	9447
Adena	Jefferson	OH	40.217	-80.876	682
Endwell	Broome	NY	42.118	-76.022	11396
Wrens	Jefferson	GA	33.207	-82.388	2343
Sheridan	Yamhill	OR	45.096	-123.398	6122
Sandy Hollow Escondidas	Nueces	TX	27.945	-97.806	682
Wadsworth	Washoe	NV	39.632	-119.29	787
Elliott	Ford	IL	40.466	-88.277	310
Jerry City	Wood	OH	41.254	-83.602	585
Prince's Lakes	Johnson	IN	39.351	-86.109	1495
Byram	Hinds	MS	32.189	-90.286	11519
Cherokee	Swain	NC	35.486	-83.301	2120
Arial	Pickens	SC	34.846	-82.641	2158
Medina	Hennepin	MN	45.033	-93.583	6549
Traverse City	Grand Traverse	MI	44.755	-85.604	15525
South Greeley	Laramie	WY	41.093	-104.807	4473
Waskom	Harrison	TX	32.477	-94.065	1726
Parnell	Nodaway	MO	40.438	-94.622	180
Meadows Place	Fort Bend	TX	29.651	-95.587	4899
Evergreen	Jefferson	CO	39.635	-105.336	9475
Loganton	Clinton	PA	41.034	-77.302	481
Johnstown	Weld	CO	40.35	-104.948	14357
Rachel	Marion	WV	39.521	-80.3	312
La Center	Clark	WA	45.86	-122.676	3338
Teresita	Cherokee	OK	36.123	-94.98	177
Parchment	Kalamazoo	MI	42.328	-85.567	1887
Raymond	Union	OH	40.335	-83.464	155
Lake Sarasota	Sarasota	FL	27.295	-82.432	4148
Lely	Collier	FL	26.103	-81.73	3553
Big Timber	Sweet Grass	MT	45.835	-109.949	1736
Renville	Renville	MN	44.791	-95.205	1271
Neosho Rapids	Lyon	KS	38.368	-95.992	365
Summer Set	Jefferson	MO	38.09	-90.575	1030
Indian Creek	Lake	IL	42.227	-87.978	760
Many Farms	Apache	AZ	36.353	-109.627	867
Elephant Head	Pima	AZ	31.766	-110.992	558
Kingston	Adams	IL	39.82	-91.027	107
Broadlands	Champaign	IL	39.909	-87.997	340
Jefferson	Greene	PA	39.93	-80.058	266
Pisgah	Harrison	IA	41.831	-95.926	282
Loretto	Cambria	PA	40.509	-78.635	1210
Cold Brook	Herkimer	NY	43.24	-75.039	254
Heath Springs	Lancaster	SC	34.593	-80.675	639
Harrisburg	Dauphin	PA	40.275	-76.884	472261
Lake Mohawk	Sussex	NJ	41.015	-74.664	9148
Silver Springs	Wyoming	NY	42.66	-78.086	709
Nanticoke	Wicomico	MD	38.268	-75.894	228
Ralston	Douglas	NE	41.201	-96.035	7305
Becker	Sherburne	MN	45.382	-93.877	4919
Vander	Cumberland	NC	35.035	-78.789	1375
Solis	Cameron	TX	26.171	-97.844	638
Crothersville	Jackson	IN	38.794	-85.84	1771
Grand Junction	Mesa	CO	39.088	-108.567	134074
Plumville	Indiana	PA	40.792	-79.179	233
West Union	Fayette	IA	42.959	-91.813	2630
Fertile	Polk	MN	47.534	-96.289	931
Abbs Valley	Tazewell	VA	37.239	-81.462	174
Fulton	Keweenaw	MI	47.299	-88.361	149
Cedarville	Stephenson	IL	42.376	-89.636	622
Fort Laramie	Goshen	WY	42.213	-104.518	207
Gaylord	Otsego	MI	45.021	-84.681	3644
El Ojo	Santa Isabel	PR	18.004	-66.392	1569
Moss Beach	San Mateo	CA	37.518	-122.504	3436
Watsonville	Santa Cruz	CA	36.921	-121.771	76285
Montandon	Northumberland	PA	40.965	-76.853	892
Dover	Bonner	ID	48.261	-116.61	778
Erath	Vermilion	LA	29.959	-92.037	2286
Cashtown	Adams	PA	39.884	-77.353	244
Dillsboro	Dearborn	IN	39.018	-85.053	1498
El Cerro Mission	Valencia	NM	34.769	-106.645	4808
Somerset	St Croix	WI	45.126	-92.673	2842
New Freedom	York	PA	39.735	-76.697	4691
Lopeno	Zapata	TX	26.712	-99.101	191
Silver Lake	Essex	NJ	40.78	-74.183	3970
Kingston	Kitsap	WA	47.793	-122.508	2836
Vernon	Apache	AZ	34.251	-109.693	169
La Grange Park	Cook	IL	41.831	-87.872	13129
New Haven	Mitchell	IA	43.284	-92.642	103
Daviston	Marion	SC	33.886	-79.372	446
Palisade	Aitkin	MN	46.713	-93.489	218
Rockfish	Hoke	NC	34.99	-79.069	3700
Dinuba	Tulare	CA	36.545	-119.399	24455
Bartonsville	Frederick	MD	39.39	-77.351	1786
Lydia	Darlington	SC	34.287	-80.118	419
Ridgely	Caroline	MD	38.953	-75.883	1956
Stedman	Cumberland	NC	35.011	-78.7	1666
Seminary	Covington	MS	31.558	-89.499	267
Iron Gate	Alleghany	VA	37.799	-79.79	396
Mount Pleasant	Jefferson	OH	40.176	-80.799	395
Grampian	Clearfield	PA	40.965	-78.611	479
Banner Hill	Unicoi	TN	36.122	-82.42	1396
North Middletown	Bourbon	KY	38.143	-84.11	722
Trowbridge	Sutter	CA	38.926	-121.515	196
Churchill	Trumbull	OH	41.169	-80.666	1995
Joseph	Sevier	UT	38.625	-112.22	495
Cuero	DeWitt	TX	29.102	-97.287	8246
